Frequency (GHz)	Ang(S(1,1)) (Deg) : RIS single patch (Schalter = 0 )	Ang(S(1,1)) (Deg) : RIS single patch (Schalter = 1 )
5.15	-101.318	104.08
5.16	-102.24	103.678
5.17	-103.16	103.277
5.18	-104.078	102.874
5.19	-104.995	102.471
5.2	-105.909	102.068
5.21	-106.822	101.664
5.22	-107.732	101.259
5.23	-108.641	100.854
5.24	-109.548	100.448
5.25	-110.453	100.041
5.26	-111.356	99.6339
5.27	-112.256	99.2261
5.28	-113.155	98.8177
5.29	-114.052	98.4086
5.3	-114.946	97.9989
5.31	-115.838	97.5885
5.32	-116.729	97.1775
5.33	-117.617	96.7658
5.34	-118.502	96.3534
5.35	-119.386	95.9404
5.36	-120.268	95.5267
5.37	-121.147	95.1123
5.38	-122.024	94.6974
5.39	-122.898	94.2818
5.4	-123.77	93.8655
5.41	-124.64	93.4488
5.42	-125.507	93.0314
5.43	-126.372	92.6136
5.44	-127.234	92.1953
5.45	-128.094	91.7766
5.46	-128.95	91.3579
5.47	-129.804	90.9386
5.48	-130.656	90.5191
5.49	-131.504	90.0995
5.5	-132.349	89.6799
5.51	-133.191	89.2604
5.52	-134.029	88.8411
5.53	-134.865	88.422
5.54	-135.696	88.0033
5.55	-136.525	87.5849
5.56	-137.35	87.1669
5.57	-138.171	86.7492
5.58	-138.989	86.3316
5.59	-139.808	85.911
5.6	-140.62	85.4933
5.61	-141.43	85.0752
5.62	-142.237	84.6564
5.63	-143.042	84.2366
5.64	-143.845	83.8156
5.65	-144.646	83.3934
5.66	-145.447	82.969
5.67	-146.246	82.5426
5.68	-147.043	82.1142
5.69	-147.84	81.6837
5.7	-148.636	81.251
5.71	-149.431	80.8161
5.72	-150.224	80.3791
5.73	-151.017	79.9401
5.74	-151.808	79.499
5.75	-152.597	79.0561
5.76	-153.386	78.6113
5.77	-154.173	78.1647
5.78	-154.958	77.7164
5.79	-155.742	77.2664
5.8	-156.524	76.8149
5.81	-157.304	76.3618
5.82	-158.083	75.9072
5.83	-158.86	75.4511
5.84	-159.635	74.9936
5.85	-160.408	74.5347
5.86	-161.18	74.0743
5.87	-161.95	73.6125
5.875	-162.334	73.381
